sa2_code,sa2_name,area_band,longitude,latitude,population_2025,population_growth_pct_2024_25,stops_per_10000_people,total_stops,access_category
210051243,Campbellfield - Coolaroo,Outer / growth corridor,144.95185,-37.663907,16386,0,63.47,104,High
210051245,Gladstone Park - Westmeadows,Outer / growth corridor,144.890804,-37.676258,18285,0.4,41.02,75,Moderate
210051246,Greenvale - Bulla,Outer / growth corridor,144.835367,-37.623619,26757,4.2,30.65,82,Moderate
210051247,Meadow Heights,Outer / growth corridor,144.91856,-37.651152,14841,-0.5,41.78,62,Moderate
210051248,Melbourne Airport,Outer / growth corridor,144.836524,-37.676409,130,0,1153.85,15,High
210051250,Tullamarine,Outer / growth corridor,144.877238,-37.696127,6727,0.9,44.6,30,Moderate
210051441,Craigieburn - Central,Outer / growth corridor,144.935609,-37.592147,8172,0,28.14,23,Moderate
212041312,Dandenong North,Outer / growth corridor,145.214247,-37.955902,23391,0.6,44.03,103,Moderate
210051442,Craigieburn - North,Outer / growth corridor,144.943259,-37.570652,12846,0.1,23.35,30,Moderate
210051443,Craigieburn - South,Outer / growth corridor,144.918807,-37.604432,24431,1.8,30.29,74,Moderate
210051445,Mickleham - Yuroke,Outer / growth corridor,144.901915,-37.543581,39389,11.8,17.01,67,Low
210051542,Craigieburn - North West,Outer / growth corridor,144.904538,-37.570776,11293,1.3,16.82,19,Low
210051543,Craigieburn - West,Outer / growth corridor,144.904775,-37.585292,14970,1.8,35.4,53,Moderate
212041313,Dingley Village,Outer / growth corridor,145.127138,-37.974891,10770,0.4,44.57,48,Moderate
210051544,Roxburgh Park (South) - Somerton,Outer / growth corridor,144.94105,-37.633829,9699,0.1,52.58,51,High
210051545,Roxburgh Park - North,Outer / growth corridor,144.924773,-37.618876,15440,0.4,14.25,22,Low
212041316,Noble Park North,Outer / growth corridor,145.190835,-37.951237,7593,-0.4,59.27,45,High
212041317,Springvale,Outer / growth corridor,145.157862,-37.945682,24468,1.9,34.74,85,Moderate
211011251,Bayswater,Outer / growth corridor,145.264771,-37.845429,13388,0.9,49.3,66,High
211011254,Knoxfield - Scoresby,Outer / growth corridor,145.23047,-37.897207,17232,0.8,66.74,115,High
211011255,Lysterfield,Outer / growth corridor,145.290814,-37.926955,6622,0.6,37.75,25,Moderate
211011256,Rowville - Central,Outer / growth corridor,145.243175,-37.91937,15771,0.5,47.56,75,High
211011257,Rowville - North,Outer / growth corridor,145.260866,-37.907128,7827,-0.5,34.5,27,Moderate
211011258,Rowville - South,Outer / growth corridor,145.238849,-37.935506,10578,0.1,34.03,36,Moderate
212041318,Springvale South,Outer / growth corridor,145.147868,-37.970831,13274,1.2,36.91,49,Moderate
212041459,Noble Park - East,Outer / growth corridor,145.181751,-37.96391,13935,2.2,22.25,31,Moderate
211011259,Wantirna,Outer / growth corridor,145.225981,-37.85231,14634,0.2,32.12,47,Moderate
211011260,Wantirna South,Outer / growth corridor,145.220921,-37.873638,18475,0.6,69.28,128,High
212041460,Noble Park - West,Outer / growth corridor,145.172746,-37.973926,20473,1.1,25.4,52,Moderate
211011446,Boronia,Outer / growth corridor,145.285971,-37.856278,24763,1,46.04,114,High
211011447,Ferntree Gully - North,Outer / growth corridor,145.285565,-37.877292,14538,0.3,42.65,62,Moderate
211011448,Ferntree Gully (South) - Upper Ferntree Gully,Outer / growth corridor,145.283818,-37.892811,15630,0.4,51.18,80,High
211011449,The Basin,Outer / growth corridor,145.321379,-37.855674,4336,0.4,34.59,15,Moderate
