path_id,sa2_code,sa2_name,access_category,growth,point_order,longitude,latitude
206041509-0,206041509,Southbank - East,Low,1.4,2,144.97133,-37.82988
206041509-0,206041509,Southbank - East,Low,1.4,3,144.96894,-37.82071
206041509-0,206041509,Southbank - East,Low,1.4,4,144.96622,-37.82165
206041509-0,206041509,Southbank - East,Low,1.4,5,144.96589,-37.8218
206041510-0,206041510,West Melbourne - Residential,Moderate,5,0,144.94264,-37.80731
206041510-0,206041510,West Melbourne - Residential,Moderate,5,1,144.95033,-37.81347
206041510-0,206041510,West Melbourne - Residential,Moderate,5,2,144.95645,-37.81174
206041510-0,206041510,West Melbourne - Residential,Moderate,5,3,144.95599,-37.80587
206041510-0,206041510,West Melbourne - Residential,Moderate,5,4,144.94285,-37.80657
206041510-0,206041510,West Melbourne - Residential,Moderate,5,5,144.94264,-37.80731
206051128-0,206051128,Albert Park,Moderate,0.9,0,144.96767,-37.83737
206051128-0,206051128,Albert Park,Moderate,0.9,1,144.95921,-37.84216
206051128-0,206051128,Albert Park,Moderate,0.9,2,144.95691,-37.83722
206051128-0,206051128,Albert Park,Moderate,0.9,3,144.95251,-37.8385
206051128-0,206051128,Albert Park,Moderate,0.9,4,144.9427,-37.84609
206051128-0,206051128,Albert Park,Moderate,0.9,5,144.96569,-37.85749
206051128-0,206051128,Albert Park,Moderate,0.9,6,144.98065,-37.85021
206051128-0,206051128,Albert Park,Moderate,0.9,7,144.9742,-37.83427
206051128-0,206051128,Albert Park,Moderate,0.9,8,144.97161,-37.83232
206051128-0,206051128,Albert Park,Moderate,0.9,9,144.96789,-37.8373
206051128-0,206051128,Albert Park,Moderate,0.9,10,144.96767,-37.83737
206051129-0,206051129,Elwood,Moderate,1.1,0,144.97734,-37.87887
206051129-0,206051129,Elwood,Moderate,1.1,1,144.97566,-37.88211
206051129-0,206051129,Elwood,Moderate,1.1,2,144.985,-37.89099
206051129-0,206051129,Elwood,Moderate,1.1,3,144.99068,-37.89172
206051129-0,206051129,Elwood,Moderate,1.1,4,144.99227,-37.88326
206051129-0,206051129,Elwood,Moderate,1.1,5,144.99702,-37.8838
206051129-0,206051129,Elwood,Moderate,1.1,6,144.98879,-37.87073
206051129-0,206051129,Elwood,Moderate,1.1,7,144.97451,-37.87626
206051129-0,206051129,Elwood,Moderate,1.1,8,144.97732,-37.87867
206051129-0,206051129,Elwood,Moderate,1.1,9,144.97734,-37.87887
206051130-0,206051130,Port Melbourne,Moderate,0.7,0,144.91691,-37.83654
206051130-0,206051130,Port Melbourne,Moderate,0.7,1,144.9132,-37.84227
206051130-0,206051130,Port Melbourne,Moderate,0.7,2,144.92586,-37.83983
206051130-0,206051130,Port Melbourne,Moderate,0.7,3,144.92525,-37.84497
206051130-0,206051130,Port Melbourne,Moderate,0.7,4,144.92717,-37.84131
206051130-0,206051130,Port Melbourne,Moderate,0.7,5,144.93128,-37.843
206051130-0,206051130,Port Melbourne,Moderate,0.7,6,144.92986,-37.84731
206051130-0,206051130,Port Melbourne,Moderate,0.7,7,144.934,-37.84219
206051130-0,206051130,Port Melbourne,Moderate,0.7,8,144.9427,-37.84609
206051130-0,206051130,Port Melbourne,Moderate,0.7,9,144.94976,-37.83409
206051130-0,206051130,Port Melbourne,Moderate,0.7,10,144.9457,-37.83055
206051130-0,206051130,Port Melbourne,Moderate,0.7,11,144.91721,-37.83647
206051130-0,206051130,Port Melbourne,Moderate,0.7,12,144.91691,-37.83654
206051134-0,206051134,St Kilda East,Moderate,0.8,0,145.00064,-37.85889
206051134-0,206051134,St Kilda East,Moderate,0.8,1,144.99328,-37.85789
206051134-0,206051134,St Kilda East,Moderate,0.8,2,144.98879,-37.87073
206051134-0,206051134,St Kilda East,Moderate,0.8,3,144.99675,-37.88349
206051134-0,206051134,St Kilda East,Moderate,0.8,4,145.00004,-37.86644
206051134-0,206051134,St Kilda East,Moderate,0.8,5,145.00917,-37.86758
206051134-0,206051134,St Kilda East,Moderate,0.8,6,145.01053,-37.86021
206051134-0,206051134,St Kilda East,Moderate,0.8,7,145.00101,-37.85894
206051134-0,206051134,St Kilda East,Moderate,0.8,8,145.00064,-37.85889
206051511-0,206051511,Port Melbourne Industrial,High,22.6,0,144.9158,-37.8206
206051511-0,206051511,Port Melbourne Industrial,High,22.6,1,144.90557,-37.82287
206051511-0,206051511,Port Melbourne Industrial,High,22.6,2,144.89715,-37.83262
206051511-0,206051511,Port Melbourne Industrial,High,22.6,3,144.89837,-37.84119
206051511-0,206051511,Port Melbourne Industrial,High,22.6,4,144.90722,-37.84951
206051511-0,206051511,Port Melbourne Industrial,High,22.6,5,144.90298,-37.83945
206051511-0,206051511,Port Melbourne Industrial,High,22.6,6,144.90649,-37.83936
